Fold,Epoch,Loss,MSE,MAE,NMAE,ACC,MMRE,PRED30,NonZeroPerc
1,1,0.13453902825713157,0.11868206385089605,0.20060494703412388,1.496178563296174,0.8687150837988827,0.8868469710045672,0.0,13.128491620111731
1,2,0.10653543654415343,0.0805768064314312,0.1865114696003892,1.3910647107695695,0.9106145251396648,0.4488302671865739,0.425531914893617,13.128491620111731
1,3,0.07054986343201664,0.07417989723766671,0.147407460998576,1.0994139799477125,0.9106145251396648,0.40010628563926576,0.48936170212765956,13.128491620111731
1,4,0.04517158389919334,0.06584072136936253,0.12820025766562054,0.9561602550894199,0.9050279329608939,0.41387547140425823,0.48936170212765956,13.128491620111731
1,5,0.03351668345017566,0.07073516641424933,0.12259252846885509,0.9143359414968776,0.9078212290502793,0.4488214735793782,0.44680851063829785,13.128491620111731
2,1,0.12828073095944192,0.12598245083946735,0.24876552612088912,1.7811611670255663,0.8659217877094972,0.8259567537655433,0.0,13.40782122905028
2,2,0.1099873558514648,0.09965685392097431,0.17656233176012137,1.2641862954024692,0.8910614525139665,0.6967662533667559,0.125,13.40782122905028
2,3,0.07421935175855955,0.0764159618329899,0.1598958833755759,1.1448545249691235,0.9078212290502793,0.502288607104371,0.3541666666666667,13.40782122905028
2,4,0.04958677960352765,0.07539285427784673,0.14187541119174676,1.015827944132907,0.9078212290502793,0.42294017859967425,0.4583333333333333,13.40782122905028
2,5,0.04282195075518555,0.0792932179995365,0.12352650868868996,0.8844498022110202,0.9078212290502793,0.6358077486462813,0.25,13.40782122905028
3,1,0.140643809735775,0.1032931096340273,0.19876910571833284,1.6502458311963912,0.8795518207282913,0.8776545938710834,0.0,12.044817927170868
3,2,0.1189823624988397,0.07559679079641526,0.1643642816403672,1.3646057801304905,0.896358543417367,0.6479735553784426,0.11627906976744186,12.044817927170868
3,3,0.07955040476388402,0.0734211140644671,0.12129630996905663,1.0070414571849586,0.9103641456582633,0.617630097235358,0.2558139534883721,12.044817927170868
3,4,0.055748322337037984,0.06958131404912038,0.11494951262461617,0.9543482792322784,0.9187675070028011,0.5275014994752615,0.37209302325581395,12.044817927170868
3,5,0.038084037001762126,0.08344267423481289,0.13557153679849923,1.125559038071261,0.9047619047619048,0.47835863544064205,0.4883720930232558,12.044817927170868
4,1,0.1351789641711447,0.1141523956516273,0.21518595228676035,1.60044552013278,0.865546218487395,0.8743973840028048,0.0,13.445378151260504
4,2,0.12164572651187579,0.0946666673818866,0.18607180079651334,1.383909018424068,0.865546218487395,0.7862967622155944,0.0,13.445378151260504
4,3,0.09118184807399908,0.07488559485570793,0.21510554472354948,1.5998474888813994,0.9187675070028011,0.364255682254831,0.5208333333333334,13.445378151260504
4,4,0.06343519145415889,0.06748963496914615,0.13643545612269076,1.0147387049125125,0.9103641456582633,0.36878896531804156,0.5625,13.445378151260504
4,5,0.04438443709578779,0.0757458036253552,0.13429433137229943,0.9988140895814771,0.9047619047619048,0.4098279601021204,0.5833333333333334,13.445378151260504
5,1,0.13575979272524516,0.1353168641215725,0.30681922376489773,2.1064319785397787,0.8571428571428571,0.7693125669862709,0.0,14.285714285714285
5,2,0.12432182861698998,0.12699106143849873,0.23194278599250884,1.5923764346024163,0.8571428571428571,0.8639285928186249,0.0,14.285714285714285
5,3,0.11903111992610825,0.1143369398580512,0.202961053493164,1.393405694174222,0.8571428571428571,0.8285303039147573,0.0,14.285714285714285
5,4,0.08816753721071614,0.06588858545115968,0.15447552801639425,1.060533913497168,0.9327731092436975,0.40946262673127887,0.43137254901960786,14.285714285714285
5,5,0.060266181412670344,0.06410977170197578,0.12166791680824607,0.8352970442412277,0.927170868347339,0.40636662617508396,0.45098039215686275,14.285714285714285
