Fold,Epoch,Loss,MSE,MAE,NMAE,ACC,MMRE,PRED30,NonZeroPerc
1,1,0.3716061535808775,0.22785941792048228,0.33559081591041395,0.3888074825110945,0.7346368715083799,0.16535826861024736,0.9195804195804196,79.88826815642457
1,2,0.2648762736055586,0.23592270198820406,0.4033156426925233,0.46727184493179075,0.7094972067039106,0.2767994666433001,0.5804195804195804,79.88826815642457
1,3,0.23368670377466413,0.23376120722382993,0.35815902928400306,0.4149544740571945,0.7318435754189944,0.1971155513416637,0.7587412587412588,79.88826815642457
1,4,0.2176096765531434,0.2035820923183206,0.3806301957235656,0.44098902934963263,0.7513966480446927,0.28580479105035744,0.5314685314685315,79.88826815642457
1,5,0.17674926643570263,0.2192015691071804,0.34169846423511396,0.39588365759278576,0.7513966480446927,0.1941211018320564,0.7832167832167832,79.88826815642457
2,1,0.3772380888462067,0.2834261303121618,0.32261692095735217,0.35868589348674557,0.6983240223463687,0.09998617993368135,0.8741258741258742,79.88826815642457
2,2,0.2731334229310354,0.23089061387218693,0.4228164170707404,0.4700878177370344,0.6955307262569832,0.3056396782606632,0.3951048951048951,79.88826815642457
2,3,0.23451765610112085,0.21598264508079978,0.4082578328235189,0.45390156568577567,0.6955307262569832,0.29946209875853746,0.4405594405594406,79.88826815642457
2,4,0.21542913417021434,0.2377863164457692,0.3919584566321453,0.4357798989885342,0.7011173184357542,0.25585121281080314,0.6083916083916084,79.88826815642457
2,5,0.17430967821015253,0.21822973877497986,0.3579586805494804,0.3979789057040807,0.7011173184357542,0.22453352861054293,0.6713286713286714,79.88826815642457
3,1,0.356154501107004,0.2564858204344248,0.3158366648422904,0.33657817716029154,0.7198879551820728,0.126637848245131,0.8682432432432432,82.91316526610645
3,2,0.25788493851820626,0.22789767522993218,0.3864582231064804,0.41183756910153285,0.7142857142857143,0.24918976939610532,0.6452702702702703,82.91316526610645
3,3,0.22415104276604123,0.22926228748981364,0.3759585661547525,0.4006483824395422,0.711484593837535,0.2404832414074524,0.6824324324324325,82.91316526610645
3,4,0.19672696027490827,0.21809374571253773,0.37323392190936566,0.3977448063332643,0.7254901960784313,0.2734067047618934,0.6047297297297297,82.91316526610645
3,5,0.15316274795267318,0.2046220771671723,0.33159947923922006,0.3533761614579151,0.7310924369747899,0.20104855609856345,0.7837837837837838,82.91316526610645
4,1,0.3281679246160719,0.3222029444328488,0.44795009168256233,0.5158651055828217,0.5826330532212886,0.27174487258122715,0.6678700361010831,77.59103641456583
4,2,0.24439990454249913,0.23883761287596084,0.4027615790607549,0.46382543136996607,0.6834733893557423,0.25582194683353826,0.6245487364620939,77.59103641456583
4,3,0.2255092653963301,0.23000701630096665,0.39190754945538625,0.4513257908244287,0.6890756302521008,0.2537156643635099,0.6606498194945848,77.59103641456583
4,4,0.1878366165690952,0.23030659080206026,0.3669471221686411,0.42258104069098346,0.7338935574229691,0.22576670967284523,0.7111913357400722,77.59103641456583
4,5,0.16164323770337635,0.2193290378765577,0.3523853242929493,0.4058114863631706,0.7282913165266106,0.25544907262932093,0.6750902527075813,77.59103641456583
5,1,0.3332991542087661,0.2661236150644781,0.40790365874266427,0.4593741519594043,0.6470588235294118,0.2221359964052256,0.7664233576642335,76.75070028011206
5,2,0.24905528989103104,0.25772984786710657,0.4344697582955454,0.4892924407303146,0.6470588235294118,0.29412918641184366,0.44525547445255476,76.75070028011206
5,3,0.22950194047556982,0.22881395476771732,0.3988119036543603,0.4491351722542796,0.6610644257703081,0.2524436164076311,0.656934306569343,76.75070028011206
5,4,0.18969518111811745,0.21178752084659852,0.3791400918251827,0.42698111287567897,0.7507002801120448,0.27517208951885685,0.6021897810218978,76.75070028011206
5,5,0.18278549048635695,0.3348161845390102,0.44082306684399186,0.4964474285908678,0.5966386554621849,0.30377293176894643,0.6058394160583942,76.75070028011206
