Fold,Epoch,Loss,MSE,MAE,NMAE,ACC,MMRE,PRED30,NonZeroPerc
1,1,0.45827575061056347,0.328360138383375,0.42703123432297946,0.43930224680352487,0.6201117318435754,0.20899820244686113,0.7212543554006968,80.16759776536313
1,2,0.32649742960929873,0.28232889638647324,0.43283570162410845,0.4452735091420426,0.6396648044692738,0.26711258915243247,0.6236933797909407,80.16759776536313
1,3,0.2699052443106969,0.2967833606391527,0.41923474033451613,0.431281715631485,0.6368715083798883,0.25546738432674876,0.7003484320557491,80.16759776536313
1,4,0.23389394382635753,0.31908998387760423,0.427969828248024,0.4402678118183695,0.6396648044692738,0.2675289247924858,0.6411149825783972,80.16759776536313
1,5,0.19098979151911205,0.2583206833540726,0.38950523118067054,0.4006979102375864,0.7094972067039106,0.2328027385556324,0.6829268292682927,80.16759776536313
2,1,0.4949643525812361,0.3304773900921054,0.38900856798587563,0.3857758098031675,0.6508379888268156,0.15933858525472056,0.7845117845117845,82.9608938547486
2,2,0.35127356747786204,0.25888249622271775,0.41874262440803994,0.41526276880354096,0.6731843575418994,0.28244999081197414,0.6868686868686869,82.9608938547486
2,3,0.2625545680522919,0.24426902999154143,0.39883260137542,0.39551820302603974,0.6871508379888268,0.2828417892006511,0.5892255892255892,82.9608938547486
2,4,0.2227819628185696,0.2761281197527975,0.4152170922503125,0.41176653469698576,0.659217877094972,0.2982789962380021,0.6026936026936027,82.9608938547486
2,5,0.19711972309483422,0.31145002919906206,0.43099450944355744,0.4274128376199267,0.6675977653631285,0.3173763655151181,0.5892255892255892,82.9608938547486
3,1,0.4604163302315606,0.4033031605844595,0.4633070323981491,0.4607259347246218,0.5798319327731093,0.18883774126797598,0.7243816254416962,79.27170868347339
3,2,0.3293891261021296,0.30814063177144513,0.4586597435614642,0.45610453607644214,0.6218487394957983,0.28754309283128476,0.5724381625441696,79.27170868347339
3,3,0.27850558161735534,0.33124405216632435,0.4523650476244651,0.44984490808338173,0.6078431372549019,0.2694060449676042,0.6607773851590106,79.27170868347339
3,4,0.2318732198741701,0.35430706073623075,0.4608465988262027,0.45827920830349406,0.6190476190476191,0.3035483483501542,0.5936395759717314,79.27170868347339
3,5,0.20967842340469361,0.27343248365583256,0.4116730915398157,0.4093796481329086,0.680672268907563,0.2765987899825767,0.5901060070671378,79.27170868347339
4,1,0.46010456681251527,0.3232630592120048,0.424004064387634,0.4505043184118611,0.6078431372549019,0.187424734397368,0.7418181818181818,77.03081232492998
4,2,0.3019923918777042,0.26572017272651693,0.43541905985159035,0.4626327510923148,0.6190476190476191,0.28333295410329645,0.5418181818181819,77.03081232492998
4,3,0.26091288990444605,0.2603256173912705,0.41785895791040417,0.44397514277980443,0.6470588235294118,0.27676757541569796,0.5781818181818181,77.03081232492998
4,4,0.2148015512360467,0.2613121411924524,0.4065815484573861,0.43199289523597273,0.6554621848739496,0.29983045783909884,0.5745454545454546,77.03081232492998
4,5,0.18262103514538872,0.2629037823928346,0.40242918714794856,0.42758101134469534,0.7002801120448179,0.3161813303557309,0.5527272727272727,77.03081232492998
5,1,0.4387290782398648,0.31358499794218864,0.4635553066136122,0.48388667971070043,0.6022408963585434,0.27792281579454886,0.5956678700361011,77.59103641456583
5,2,0.2927346981234021,0.28649120504939846,0.4490217416226363,0.4687156776587168,0.6162464985994398,0.2769971890139666,0.5884476534296029,77.59103641456583
5,3,0.2522287223074171,0.2675023325683178,0.4383744210088286,0.4576013692986895,0.6274509803921569,0.3020775466619416,0.5090252707581228,77.59103641456583
5,4,0.21441791819201575,0.2745806695675236,0.4344441265452142,0.45349869349895167,0.6218487394957983,0.3241632338142567,0.4981949458483754,77.59103641456583
5,5,0.18348994106054306,0.2754377515362035,0.4235633074590305,0.44214064550547916,0.6190476190476191,0.29241082174468125,0.5523465703971119,77.59103641456583
