model,train_set,test_set,entry,read,write,exit,cfp,interaction,communication,process,microm
codebert,code_cosmic,code_cosmic,0.3358,0.0867,0.1259,0.2703,0.6116,,,,
codebert,code_microm,code_microm,,,,,,0.2324,0.2098,0.5898,0.7338
