model,train_set,test_set,entry,read,write,exit,cfp,interaction,communication,process,microm
codebert,code_cosmic,code_cosmic,79.4068,13.2625,23.2233,79.4068,98.1533,,,,
codebert,code_microm,code_microm,,,,,,37.0179,36.7827,84.2897,100.0
