model,train_set,test_set,entry,read,write,exit,cfp,interaction,communication,process,microm
codebert,code_cosmic,code_cosmic,0.6704,0.9138,0.8763,0.7314,0.4924,,,,
codebert,code_microm,code_microm,,,,,,0.8024,0.8151,0.5094,0.4412
